episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-7.300000000000001,-191.9,-55.12666666666668,100.0,75,15,7980,0,7980,False,75,1,e7c14_00000,e58af9c138f44631b0a1c1264dccbab9,2022-08-29_12-01-33,1661770893,8.188493490219116,8.188493490219116,29992,PoLaris,172.20.234.234,8.188493490219116,0,1,"[-41.90000000000001, -56.00000000000006, -51.099999999999994, -80.1, -46.0, -35.90000000000007, -93.40000000000005, -9.2, -12.2, -78.19999999999995, -52.30000000000003, -41.10000000000003, -63.90000000000004, -191.9, -57.50000000000006, -54.0, -112.79999999999998, -45.30000000000002, -7.300000000000001, -103.99999999999997, -66.3, -15.299999999999999, -127.09999999999984, -80.39999999999999, -113.6000000000001, -40.2, -89.6, -66.40000000000006, -10.2, -68.3, -101.3000000000002, -47.9, -61.3, -40.800000000000026, -38.39999999999993, -104.4, -58.70000000000004, -71.50000000000004, -40.30000000000012, -41.80000000000001, -34.20000000000001, -38.6, -58.3, -27.4, -76.90000000000008, -60.0, -8.599999999999998, -12.3, -34.9, -82.8, -26.9, -57.8, -12.599999999999998, -83.7, -77.29999999999988, -10.699999999999998, -19.5, -54.40000000000006, -13.499999999999998, -40.5, -64.69999999999999, -83.8, -82.20000000000002, -28.400000000000006, -191.1, -24.3, -56.8, -32.1, -38.0, -41.90000000000003, -11.2, -42.00000000000011, -16.6, -30.50000000000001, -42.100000000000094]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",1.4510016056654826,1.2422022780751798,0.07034066768643854,4.4922915751521035,0.0,4153.237,1921.393,0.153,52134806.729,4034.583,1977.9,1.37,7980,7980,7980,7980,44.11666666666667,93.875,0.0,0.20000000000000004,0.00010000000000000003,5.299703209031554,-0.0002965171836436756,529.7929458534845,0.02455573921562523,0.01035183531159632,1.3763798556020184,0.0
-5.7,-515.0000000000002,-64.46,100.0,75,15,15960,0,15960,False,150,2,e7c14_00000,e58af9c138f44631b0a1c1264dccbab9,2022-08-29_12-01-41,1661770901,8.073312282562256,16.261805772781372,29992,PoLaris,172.20.234.234,16.261805772781372,0,2,"[-26.9, -57.8, -12.599999999999998, -83.7, -77.29999999999988, -10.699999999999998, -19.5, -54.40000000000006, -13.499999999999998, -40.5, -64.69999999999999, -83.8, -82.20000000000002, -28.400000000000006, -191.1, -24.3, -56.8, -32.1, -38.0, -41.90000000000003, -11.2, -42.00000000000011, -16.6, -30.50000000000001, -42.100000000000094, -150.60000000000008, -13.399999999999999, -42.9, -64.79999999999995, -107.00000000000007, -34.3, -94.8, -39.50000000000001, -36.9, -37.7, -60.5, -49.49999999999999, -74.40000000000002, -11.4, -80.2, -50.60000000000001, -102.0, -39.9, -163.39999999999975, -184.90000000000012, -142.60000000000008, -34.000000000000014, -34.0, -119.8, -156.3, -42.0, -68.10000000000007, -31.600000000000016, -40.5, -71.5, -97.79999999999987, -79.80000000000001, -82.60000000000002, -53.199999999999996, -78.10000000000004, -11.3, -88.9, -16.700000000000003, -5.7, -515.0000000000002, -116.40000000000002, -41.900000000000105, -50.4, -99.49999999999994, -6.2, -72.8, -17.299999999999997, -74.70000000000003, -120.7999999999999, -19.299999999999997, -134.9, -9.700000000000001, -26.700000000000003, -26.500000000000007, -136.10000000000014, -13.4, -42.900000000000034, -181.2, -37.1, -73.69999999999999, -35.20000000000002, -16.1, -136.8999999999996, -37.20000000000002, -25.9, -64.3, -15.4, -49.8, -50.100000000000094, -49.00000000000009, -45.80000000000001, -45.9, -64.8, -101.9, -15.4]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",1.5191954358825353,1.2414856173926239,0.06878727077487523,4.407981932696131,0.0,6101.702,1307.832,0.147,54379440.975,4053.337,1968.748,1.562,15960,15960,15960,15960,39.408333333333324,94.15000000000002,0.0,0.20000000000000004,0.00010000000000000003,15.56578567077666,-0.004402580050506219,1556.820539823655,0.0665758769358358,0.009915578393626332,1.3560767189148935,0.0
-8.3,-305.2,-69.76500000000001,100.0,75,15,23940,0,23940,False,225,3,e7c14_00000,e58af9c138f44631b0a1c1264dccbab9,2022-08-29_12-01-49,1661770909,8.17007851600647,24.431884288787842,29992,PoLaris,172.20.234.234,24.431884288787842,0,3,"[-134.9, -9.700000000000001, -26.700000000000003, -26.500000000000007, -136.10000000000014, -13.4, -42.900000000000034, -181.2, -37.1, -73.69999999999999, -35.20000000000002, -16.1, -136.8999999999996, -37.20000000000002, -25.9, -64.3, -15.4, -49.8, -50.100000000000094, -49.00000000000009, -45.80000000000001, -45.9, -64.8, -101.9, -15.4, -9.699999999999998, -75.3, -51.5, -58.5, -57.4, -68.8, -145.39999999999998, -35.1, -305.2, -54.8, -35.7, -59.70000000000001, -55.50000000000004, -31.8, -83.0, -15.4, -40.100000000000044, -73.50000000000006, -73.10000000000011, -31.500000000000014, -91.5, -302.5, -66.0, -92.59999999999992, -26.9, -30.90000000000001, -96.9000000000001, -124.79999999999998, -17.6, -122.9, -59.4, -123.80000000000008, -99.10000000000001, -74.3, -69.80000000000005, -44.90000000000009, -79.70000000000003, -36.40000000000001, -56.800000000000004, -32.100000000000016, -71.90000000000008, -50.0, -41.800000000000004, -73.9, -55.10000000000005, -79.29999999999993, -109.00000000000007, -42.30000000000004, -255.8, -67.50000000000003, -63.80000000000007, -29.4, -81.09999999999997, -51.70000000000015, -8.3, -73.50000000000003, -9.4, -69.09999999999995, -63.500000000000064, -44.7, -19.599999999999998, -97.3, -122.99999999999997, -62.199999999999996, -49.099999999999994, -158.0, -82.9, -128.0, -99.5000000000001, -63.8, -102.8000000000001, -49.800000000000004, -86.0, -43.40000000000004, -24.2]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",1.5283695207066654,1.2388011217268002,0.06718780917870079,4.36272850067769,0.0,6780.618,1176.884,0.14,56826054.194,4076.433,1957.594,1.481,23940,23940,23940,23940,41.663636363636364,94.21818181818183,0.0,0.20000000000000004,0.00010000000000000003,7.465299356488951,-0.001352015160204422,746.5743290306419,0.004033078365428474,0.004541204649166915,1.3566916219649776,0.0
-8.2,-209.8,-65.30500000000002,100.0,90,15,31920,0,31920,False,315,4,e7c14_00000,e58af9c138f44631b0a1c1264dccbab9,2022-08-29_12-01-58,1661770918,8.246492624282837,32.67837691307068,29992,PoLaris,172.20.234.234,32.67837691307068,0,4,"[-158.0, -82.9, -128.0, -99.5000000000001, -63.8, -102.8000000000001, -49.800000000000004, -86.0, -43.40000000000004, -24.2, -32.500000000000014, -85.40000000000002, -16.2, -43.1, -40.9, -55.700000000000045, -35.00000000000001, -35.200000000000024, -39.00000000000008, -39.8, -42.0, -177.9, -39.000000000000036, -28.0, -15.2, -101.60000000000004, -35.60000000000006, -26.70000000000003, -18.800000000000026, -54.500000000000064, -43.7, -164.4, -9.3, -78.2, -93.9, -39.900000000000055, -182.0, -111.50000000000014, -168.8, -66.70000000000005, -17.2, -95.70000000000003, -187.0, -93.49999999999989, -8.2, -15.699999999999998, -50.2, -92.3, -24.09999999999996, -209.8, -109.4, -82.9, -48.90000000000002, -75.0, -32.0, -53.3, -89.1, -11.2, -107.5, -38.10000000000001, -77.10000000000008, -29.8, -47.800000000000026, -96.6000000000002, -55.8, -31.1, -26.900000000000027, -71.50000000000001, -46.10000000000003, -75.79999999999991, -8.6, -45.70000000000002, -62.90000000000003, -54.3, -30.8, -68.99999999999993, -37.90000000000011, -21.5, -30.100000000000005, -41.8, -61.49999999999997, -18.599999999999998, -13.2, -147.60000000000002, -90.69999999999999, -98.2, -57.20000000000004, -82.30000000000007, -91.30000000000005, -45.9, -62.8, -43.40000000000004, -48.50000000000006, -45.10000000000005, -60.5, -11.2, -185.6, -64.0, -93.60000000000012, -48.2]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",1.5998566543574093,1.234075911239042,0.06628085187487405,4.338722719490055,0.0,7138.272,1117.918,0.14,56946909.264,4100.797,1945.963,1.438,31920,31920,31920,31920,39.741666666666674,94.3,0.0,0.10000000000000002,0.00010000000000000003,5.867012075230639,-0.0045418245531368235,586.9846508272233,0.019482107476521564,0.017075300835025158,1.332091248676341,0.0
-3.2,-206.7999999999998,-60.332,100.0,75,15,39900,0,39900,False,390,5,e7c14_00000,e58af9c138f44631b0a1c1264dccbab9,2022-08-29_12-02-06,1661770926,8.023911237716675,40.70228815078735,29992,PoLaris,172.20.234.234,40.70228815078735,0,5,"[-68.99999999999993, -37.90000000000011, -21.5, -30.100000000000005, -41.8, -61.49999999999997, -18.599999999999998, -13.2, -147.60000000000002, -90.69999999999999, -98.2, -57.20000000000004, -82.30000000000007, -91.30000000000005, -45.9, -62.8, -43.40000000000004, -48.50000000000006, -45.10000000000005, -60.5, -11.2, -185.6, -64.0, -93.60000000000012, -48.2, -61.40000000000003, -51.8, -3.2, -86.00000000000006, -47.1, -45.0, -48.7, -16.2, -83.09999999999994, -27.199999999999996, -20.9, -29.9, -77.9, -36.8, -56.90000000000003, -55.20000000000004, -71.80000000000003, -65.40000000000006, -40.10000000000001, -62.400000000000034, -54.20000000000003, -22.99999999999995, -21.5, -26.2, -154.29999999999993, -137.70000000000002, -80.5, -26.899999999999956, -62.1, -95.39999999999993, -88.09999999999998, -43.49999999999999, -69.9, -38.00000000000001, -44.8, -46.0, -73.9, -32.10000000000001, -55.09999999999996, -52.300000000000004, -67.10000000000001, -35.79999999999998, -94.2, -91.30000000000001, -104.8, -125.8, -47.30000000000005, -37.3, -34.09999999999998, -135.9, -77.69999999999999, -33.700000000000024, -31.700000000000006, -38.90000000000002, -70.9, -53.90000000000002, -65.0, -52.70000000000001, -38.60000000000001, -37.8, -180.50000000000028, -206.7999999999998, -21.00000000000008, -101.20000000000002, -64.1, -73.39999999999998, -30.100000000000005, -23.299999999999955, -39.80000000000005, -38.39999999999999, -69.0, -49.9, -14.899999999999997, -37.2, -26.9]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",1.5827212227136191,1.2321246816422047,0.06589262551848703,4.327543973636347,0.0,7328.87,1088.844,0.14,57116972.56,4105.287,1943.835,1.477,39900,39900,39900,39900,38.43333333333334,94.3,0.0,0.10000000000000002,0.00010000000000000003,4.271278848058434,-0.007250192703839431,427.72203896635324,-0.06520334222624379,0.01308732150160596,1.2723566789139984,0.0
-5.4,-206.7999999999998,-55.580999999999996,100.0,75,15,47880,0,47880,False,465,6,e7c14_00000,e58af9c138f44631b0a1c1264dccbab9,2022-08-29_12-02-14,1661770934,8.167226552963257,48.86951470375061,29992,PoLaris,172.20.234.234,48.86951470375061,0,6,"[-77.69999999999999, -33.700000000000024, -31.700000000000006, -38.90000000000002, -70.9, -53.90000000000002, -65.0, -52.70000000000001, -38.60000000000001, -37.8, -180.50000000000028, -206.7999999999998, -21.00000000000008, -101.20000000000002, -64.1, -73.39999999999998, -30.100000000000005, -23.299999999999955, -39.80000000000005, -38.39999999999999, -69.0, -49.9, -14.899999999999997, -37.2, -26.9, -95.1, -63.50000000000013, -81.0, -34.3, -27.0, -79.0, -20.9, -54.6, -94.29999999999995, -26.400000000000066, -46.20000000000001, -15.2, -23.2, -30.0, -61.800000000000026, -101.7, -137.4, -67.7, -41.20000000000001, -60.900000000000006, -51.59999999999999, -43.100000000000065, -37.9, -71.3, -34.9, -88.29999999999995, -11.600000000000001, -30.399999999999952, -51.3, -57.8, -177.6, -29.9, -28.699999999999996, -74.0, -35.1, -60.3, -51.29999999999999, -46.900000000000055, -44.699999999999996, -33.800000000000004, -40.80000000000003, -26.800000000000004, -69.70000000000002, -6.3, -28.9, -77.79999999999998, -32.2, -39.00000000000001, -54.3, -29.9, -40.600000000000065, -11.600000000000001, -37.900000000000006, -33.800000000000004, -82.5000000000001, -29.8, -51.50000000000006, -7.4, -153.59999999999974, -19.5, -37.00000000000003, -30.0, -5.4, -95.0, -122.3, -137.09999999999968, -88.9, -57.70000000000006, -64.3, -53.40000000000005, -50.20000000000011, -41.10000000000001, -56.89999999999994, -22.2, -123.39999999999998]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",1.5558922387791918,1.2317257482475876,0.06571683301109604,4.317106632283177,0.0,7464.49,1069.062,0.141,56522171.551,4115.471,1939.025,1.465,47880,47880,47880,47880,41.127272727272725,94.3181818181818,0.0,0.10000000000000002,0.00010000000000000003,3.147757900354042,-0.010093280666017083,315.7307672398065,0.024885710817511363,0.005435716011758759,1.26365109105264,0.0
-9.4,-218.70000000000024,-60.39200000000001,100.0,90,15,55860,0,55860,False,555,7,e7c14_00000,e58af9c138f44631b0a1c1264dccbab9,2022-08-29_12-02-22,1661770942,8.243720293045044,57.113234996795654,29992,PoLaris,172.20.234.234,57.113234996795654,0,7,"[-137.09999999999968, -88.9, -57.70000000000006, -64.3, -53.40000000000005, -50.20000000000011, -41.10000000000001, -56.89999999999994, -22.2, -123.39999999999998, -20.2, -16.3, -17.5, -86.90000000000003, -35.00000000000001, -71.39999999999993, -23.6, -70.9, -56.79999999999995, -61.1, -78.60000000000001, -49.0, -48.30000000000002, -83.8, -103.3, -72.8, -32.5, -61.6, -105.40000000000003, -62.30000000000005, -218.70000000000024, -42.80000000000009, -60.300000000000104, -93.10000000000016, -82.3, -56.900000000000006, -29.0, -24.9, -33.1, -30.90000000000001, -34.099999999999994, -54.9, -50.300000000000004, -22.5, -17.5, -67.70000000000013, -57.9, -45.900000000000006, -72.3, -94.70000000000013, -36.0, -64.79999999999993, -9.4, -71.20000000000002, -50.3, -97.00000000000001, -37.900000000000006, -37.6, -68.1, -118.6, -58.70000000000002, -37.30000000000012, -33.3, -25.400000000000006, -141.9, -54.19999999999997, -51.4, -57.50000000000004, -153.0, -11.2, -43.79999999999996, -21.8, -32.60000000000001, -44.400000000000006, -97.09999999999998, -51.900000000000006, -55.4, -52.8, -31.39999999999999, -135.5, -123.30000000000001, -72.8, -58.00000000000005, -31.400000000000006, -71.10000000000004, -38.9, -122.8, -16.2, -41.7, -52.8, -43.1, -74.1000000000001, -29.8, -24.000000000000007, -97.69999999999997, -46.20000000000004, -58.10000000000001, -113.20000000000003, -43.00000000000001, -57.20000000000005]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",1.5930892038670372,1.228360909132964,0.0653634750789201,4.310986288232032,0.0,7591.271,1051.207,0.141,56579044.057,4109.567,1941.81,1.585,55860,55860,55860,55860,40.13333333333333,94.3,0.0,0.10000000000000002,0.00010000000000000003,3.517135912564493,-0.0005581844435323791,351.68940686051565,-0.007943760259177096,0.008001004222796948,1.2507157823090913,0.0
-9.1,-142.4,-58.58800000000001,100.0,75,15,63840,0,63840,False,630,8,e7c14_00000,e58af9c138f44631b0a1c1264dccbab9,2022-08-29_12-02-30,1661770950,8.117331266403198,65.23056626319885,29992,PoLaris,172.20.234.234,65.23056626319885,0,8,"[-51.900000000000006, -55.4, -52.8, -31.39999999999999, -135.5, -123.30000000000001, -72.8, -58.00000000000005, -31.400000000000006, -71.10000000000004, -38.9, -122.8, -16.2, -41.7, -52.8, -43.1, -74.1000000000001, -29.8, -24.000000000000007, -97.69999999999997, -46.20000000000004, -58.10000000000001, -113.20000000000003, -43.00000000000001, -57.20000000000005, -49.8, -33.8, -30.1, -54.3000000000001, -137.0000000000001, -43.0, -72.80000000000007, -31.2, -37.30000000000001, -75.8, -52.4, -72.3999999999999, -98.2000000000001, -14.2, -11.699999999999989, -32.0000000000001, -29.400000000000006, -40.800000000000004, -79.79999999999998, -62.00000000000006, -28.2, -34.10000000000001, -42.10000000000001, -48.8, -48.40000000000002, -123.60000000000014, -100.09999999999991, -34.800000000000026, -64.6, -56.7, -78.39999999999996, -9.2, -119.59999999999972, -86.10000000000001, -9.1, -16.799999999999994, -51.80000000000004, -67.3, -56.8, -38.60000000000011, -40.4, -31.6, -74.3, -58.50000000000001, -50.7, -91.6, -23.799999999999997, -74.30000000000001, -28.8, -36.9, -92.4, -56.3, -79.60000000000002, -142.4, -73.19999999999996, -41.1, -46.9, -105.1, -19.499999999999993, -59.400000000000006, -51.7, -126.79999999999978, -43.00000000000002, -65.90000000000012, -64.9, -31.100000000000016, -90.10000000000002, -49.300000000000004, -77.79999999999995, -82.4, -31.900000000000006, -38.80000000000001, -58.3, -43.2, -61.30000000000002]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",1.5792440095160043,1.2298781048567773,0.06528616378884519,4.310032917385854,0.0,7654.362,1042.543,0.14,57177955.874,4109.981,1941.615,1.563,63840,63840,63840,63840,38.59166666666666,94.33333333333333,0.0,0.10000000000000002,0.00010000000000000003,3.2928705927184834,-0.0031819593221429857,329.5503217881726,0.011471958089900274,0.005493983261382439,1.2500270589705436,0.0
-8.2,-155.19999999999996,-56.19099999999999,100.0,75,15,71820,0,71820,False,705,9,e7c14_00000,e58af9c138f44631b0a1c1264dccbab9,2022-08-29_12-02-39,1661770959,8.802114486694336,74.03268074989319,29992,PoLaris,172.20.234.234,74.03268074989319,0,9,"[-92.4, -56.3, -79.60000000000002, -142.4, -73.19999999999996, -41.1, -46.9, -105.1, -19.499999999999993, -59.400000000000006, -51.7, -126.79999999999978, -43.00000000000002, -65.90000000000012, -64.9, -31.100000000000016, -90.10000000000002, -49.300000000000004, -77.79999999999995, -82.4, -31.900000000000006, -38.80000000000001, -58.3, -43.2, -61.30000000000002, -82.2, -14.2, -43.4, -40.0, -26.1, -14.399999999999999, -44.9, -62.800000000000026, -68.4, -19.6, -22.4, -147.19999999999996, -44.20000000000002, -13.399999999999999, -152.80000000000013, -47.300000000000026, -29.600000000000005, -29.9, -29.0, -9.199999999999996, -21.2, -8.2, -37.30000000000003, -14.2, -29.59999999999995, -18.4, -64.20000000000007, -55.70000000000003, -73.20000000000006, -45.90000000000003, -37.4, -55.099999999999994, -93.29999999999986, -40.20000000000002, -13.3, -33.9, -37.0, -25.000000000000004, -38.10000000000007, -30.900000000000006, -27.9, -43.1, -24.8, -51.2, -143.79999999999998, -128.0, -64.9, -49.90000000000001, -18.2, -61.1, -34.500000000000036, -20.600000000000023, -50.8, -17.2, -36.900000000000006, -47.100000000000065, -15.4, -136.1, -155.19999999999996, -71.59999999999994, -50.9, -133.6999999999997, -20.1, -104.6, -110.3, -63.900000000000006, -40.0, -34.60000000000007, -75.30000000000007, -41.20000000000004, -82.9, -39.0, -150.89999999999998, -31.0, -96.8999999999999]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",1.5661649215827487,1.2425582160725563,0.06586877939841618,4.362510769797422,0.0,7744.604,1030.395,0.145,54869747.41,4149.408,1923.166,1.545,71820,71820,71820,71820,42.37499999999999,94.40000000000002,0.0,0.10000000000000002,0.00010000000000000003,5.40900767397496,-0.005615107637018927,541.3742369251867,-0.039667841952334165,0.008805288833278227,1.2089217855725236,0.0
-7.6,-284.9,-57.254,100.0,90,15,79800,0,79800,False,795,10,e7c14_00000,e58af9c138f44631b0a1c1264dccbab9,2022-08-29_12-02-47,1661770967,8.26230502128601,82.2949857711792,29992,PoLaris,172.20.234.234,82.2949857711792,0,10,"[-63.900000000000006, -40.0, -34.60000000000007, -75.30000000000007, -41.20000000000004, -82.9, -39.0, -150.89999999999998, -31.0, -96.8999999999999, -13.4, -32.9, -45.3, -72.9, -32.7, -47.90000000000005, -52.4, -49.8, -98.59999999999991, -17.4, -74.9, -50.2, -66.0, -91.19999999999999, -52.80000000000011, -38.9, -109.10000000000002, -51.60000000000002, -183.1, -68.50000000000004, -104.60000000000015, -95.8, -52.1, -76.0, -26.000000000000004, -17.4, -46.2, -29.9, -57.8, -31.1, -39.000000000000014, -120.19999999999987, -87.8, -7.700000000000001, -142.8, -27.400000000000006, -56.9, -68.29999999999981, -35.7, -44.9, -69.8, -23.0, -46.7, -102.6, -82.10000000000005, -28.9, -31.500000000000007, -41.00000000000007, -140.59999999999985, -15.2, -284.9, -58.8, -14.399999999999999, -37.9, -60.90000000000001, -40.900000000000006, -58.20000000000012, -14.899999999999999, -46.3, -29.100000000000016, -52.89999999999992, -85.4, -41.5000000000001, -40.30000000000001, -11.399999999999999, -27.0, -50.60000000000004, -7.6, -59.60000000000002, -40.40000000000002, -43.9, -74.30000000000004, -50.00000000000003, -45.1, -9.2, -62.4, -22.2, -25.900000000000006, -161.8999999999998, -40.60000000000002, -68.8, -27.700000000000006, -38.6, -71.60000000000002, -47.900000000000006, -37.40000000000003, -22.0, -32.7, -73.00000000000003, -52.900000000000006]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",1.578465323687233,1.2434473924940166,0.06581791357934783,4.368783873591569,0.0,7825.835,1019.699,0.144,55277532.486,4153.128,1921.443,1.648,79800,79800,79800,79800,39.708333333333336,94.40000000000002,0.0,0.10000000000000002,0.00010000000000000003,4.352922998673172,-0.004018437572484535,435.57473215697917,-0.050096936924483186,0.011942160691091115,1.2189231270103045,0.0
